Dearm,2,1,Dearm Weapons,Process,,,Uniform(0.3 1.4),Mechanic,,
Antanae Failure,45,1,Remove Canopy,Process,,,Fixed(0.5),Mechanic(2),,
,,2,Remove Faulty Antanae,Process,,,Uniform(0.3 1.2),Mechanic,,
,,3,Find Replacement in Warehouse,Process,,,Fixed(0.6),Mechanic,Antanae,1
,,4,Replace Antanae,Process,,,LogNormal(1.5 2.25),Mechanic,,
,,5,Test,Inspection,Fixed(0.05),2,Fixed(1.0),QA Engineer,,
Safety Harness Check,40,1,Check Harness,Process,,,Fixed(0.5),QA Engineer,,
Faulty Altimeter,35,1,Remove Canopy,Process,,,Fixed(0.5),Mechanic(2),,
,,2,Remove Faulty Altimeter,Process,,,Uniform(0.9 2.2),Mechanic,,
,,3,Find Replacement in Warehouse,Process,,,Fixed(0.6),Mechanic,Altimeter,1
,,4,Replace Altimeter,Process,,,LogNormal(1.2 2.25),Mechanic,,
,,5,Test,Inspection,Fixed(0.05),2,Fixed(1.0),QA Engineer,,
Radar Replacement,35,1,Remove Canopy,Process,,,Fixed(0.5),Mechanic(2),,
,,2,Remove Faulty Radar,Process,,,Uniform(0.3 1.2),Mechanic,,
,,3,Find Replacement in Warehouse,Process,,,Fixed(0.6),Mechanic,Radar,1
,,4,Replace Radar,Process,,,LogNormal(2.0 4.5),Mechanic,,
,,5,Test,Inspection,Fixed(0.05),2,Fixed(1.0),QA Engineer,,
Flat Tire,50,1,Jack,Process,,,Fixed(0.5),Apprentice,,
,,2,Replace Tire,Process,,,Tri(0.8 1.2 2.5),Mechanic,Tire,1
,,3,Remove Jack,Process,,,Fixed(0.5),Apprentice,,
,,,,,,,,,,
Resource Table,,,,,,,,,,
Resource Type,Count,Footprint Length,Footprint Width,,,,,,,
Mechanic,4,0,0,,,,,,,
Apprentice,2,0,0,,,,,,,
QA Engineer,1,0,0,,,,,,,
Lift,2,12,8,,,,,,,
Dolly,2,2.5,1.5,,,,,,,
Crane,2,61.7,61.7,,,,,,,
Workbench,3,8,3,,,,,,,
Generator,5,18,7.1,,,,,,,
,,,,,,,,,,
Resource Failure Table,,,,,,,,,,
Resource,Failure Name,Type,Failure Distribution,Repair Process,,,,,,
Generator,Generator Breakdown,Usage,Uniform(350 500),Generator Maintenance,,,,,,
Mechanic,Sick Mechanic,Time,Tri(40 80 120),Illness Recovery,,,,,,
Crane,Crane Breakdown,Usage,Uniform(10 60),Crane Maintenance,,,,,,
,,,,,,,,,,
Parts Table,,,,,,,,,,
Part,Quantity,Order Threshold,Order Time,,,,,,,
F-35 Antenna,4,1,Fixed(10),,,,,,,
Gas,50000,25000,Triangular(3 7 10),,,,,,,
Radar,4,1,Uniform(8 14),,,,,,,
Tire,8,4,Fixed(14),,,,,,,
Ejection Component,2,0,Uniform(8 14),,,,,,,
,,,,,,,,,,
Mission Table,,,,,,,,,,
Mission Type,Aircraft Type,,,,,,,,,
Recon,F-35,,,,,,,,,
Recon,F-18,,,,,,,,,
Strike,F-35,,,,,,,,,
Strike,F-18,,,,,,,,,
Strike,Apache,,,,,,,,,
Air Defense,F-35,,,,,,,,,
Air Defense,F-18,,,,,,,,,
Transport,Apache,,,,,,,,,
